country_name,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AUS,18573188486.95,19648336879.83,19888005375.74,21501847911.3,23758539590.1,25931235300.71,27261731436.89,30389741292.42,32657632433.64,36620002239.89,41261059469.15,45138313360.96,51954439252.34,63721973094.17,88809137803.98,97147343984.71,104894743476.62,110174351915.58,118309271373.79,134679086675,149738161559.89,176599326599.33,193721725697.89,176986429574.17,193194167723.24,180190994860.78,181977476217.12,189041159343.57,235699941792.78,299317645142.9,310838014621.01,325358292127.78,324878105052.68,311528948847.67,322201314424.08,367216364716.37,400302731411.23,434568007512.91,398899138574.24,388395162301.04,415034227218.49,378215090694.43,394486709920.47,466294700058.24,611904253805.66,692641708013.83,745521862833.18,851962785585.3,1052584601611.46,926448240318.07,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39,1323421072479.07,
Austria,AUT,6592693841.18,7311749633.36,7756110210.12,8374175257.73,9169983885.71,9994070615.86,10887682273.1,11579431668.92,12440625312.87,13582798556.24,15373005768.72,17858485956.6,22059612417.41,29515467987.91,35189299985.28,40059206763.06,42959976068.11,51545759220.71,62052258694.21,73937296654.66,82058912465.43,71034228097.46,71275287327.58,72121016623.26,67985345161.96,69386774474.59,99036165209.55,124168442860.25,133339397080.13,133105805928.24,166463386663.44,173794177725.4,195078126346.11,190379720927.48,203535242741.84,241038283062.65,237250948791.27,212790348404.56,218259904401.96,217185787342.85,196799778883.36,197337879194.63,213377771503.86,261695778781.04,300904221504.84,315974418604.65,335998557270.1,388691445387.35,430294287388.31,400172297860.52,391892746544.69,431120310088.82,409425234155.26,430068712971.87,441885415805.83,382065930307.98,390799991147.47,416595666396.64,
Burundi,BDI,195999990,202999992,213500006,232749998,260750008,158994962.96,165444571.43,178297142.86,183200000,190205714.29,242732571.43,252842285.71,246804571.43,304339839.55,345263492.06,420986666.67,448412753.62,547535555.56,610225555.56,782496666.67,919726666.67,969046666.67,1013222222.22,1082926304.46,987143931.17,1149979285.77,1201725497.07,1131466494.01,1082403219.49,1113924130.41,1132101252.52,1167398478.35,1083037670.6,938632612.03,925030590.15,1000428393.89,869033856.32,972896267.92,893770806.08,808077223.37,870486065.88,876794723.07,825394490.16,784654423.62,915257323.4,1117113045.65,1273375020.27,1356199364.86,1611835901.91,1781455092.07,2032135246.5,2235820867.83,2333308099.46,2451625332.75,2705783272.07,3104394858.12,2959185295.39,3172416146.39,
Belgium,BEL,11658722590.99,12400145221.6,13264015675.32,14260017387.05,15960106680.67,17371457607.94,18651883472.48,19992040788.46,21376353113.48,23710735894.7,26849148285.6,29981290025.49,37408591329.85,47999363071.83,56333010459.82,66029748930.57,71494539498.43,83283328418.68,101788475086.46,116938066868.47,127508202372.74,105290614080.83,92588895020.31,87650915976.33,83795680815.41,86730038793.4,120661220335.92,150194077687.74,163167853538.12,165100094594.6,206430841501.69,211637816538.69,236038384441.66,225924679920.71,246194938750.9,289567323481.12,281358175895.77,254813599458.73,260601911535.9,260202429149.8,237904919845.22,237841968680.09,258860436664.78,319002821670.43,370885026074,387365750528.54,409813197842.18,471821105940.32,518625897172.99,484552792442.35,483548031197.11,527008453886.93,497884216568.87,520925468952.94,530770977633.62,455039563132.78,467545548764.57,492681283049.25,
Benin,BEN,226195579.36,235668222.43,236434906.75,253927646.48,269818988.26,289908720.65,302925280.77,306222000.41,326323097.36,330748211.46,333627758.15,335072975.22,410331900.95,504376035.72,554654786.97,676870140.34,698408244.39,750049739.15,928843304.78,1186231265.18,1405251547.24,1291119965.11,1267778489.03,1095348302.92,1051133927,1045712703.03,1336102040.71,1562412030.35,1620246187.15,1502294411.46,1959965243.76,1986437859.9,1695315305.7,2274557914.07,1598075932.35,2169627250.93,2361116587.86,2268301537.65,2455092582.31,2689787917.51,2569186642.87,2680213931.46,3054571081.69,3905366187.87,4521424807.23,4803702821.08,5142380779.44,5969535131.58,7132787396.67,7097198711.61,6970240895.5,7814081155.65,8152554487.31,9157355679.7,9707432015.61,8291155880.6,8573159696.61,9246696923.66,
Burkina Faso,BFA,330442817.17,350247237.12,379567178.26,394040749.13,410321785.63,422916848.42,433889831.58,450753993.18,460442864.21,478298781.55,458404330.13,482411278.98,578595583.98,674773821.15,751133642.65,939972703.46,976547572.22,1131225278.78,1475584037.28,1748480982.19,1928720390.29,1775842679.94,1754450379.21,1600278756.44,1459880352.65,1552493413.99,2036303381.2,2369835438.62,2616040645.87,2615588545.69,3101301780.95,3135045684.1,2240264711.55,2332018010.55,1895290964.81,2379518099.23,2586550747.1,2447669403.89,2804902723.73,2993753187.1,2628920056.1,2812845513.57,3205592289.8,4205691222.11,4838551099.71,5462709498.45,5816310157.72,6771277870.96,8369637065.4,8369175126.25,8979966766.07,10724063457.83,11166063466.56,11947176342,12377391462.64,10419303761.35,10886363726.84,12322864244.92,
Bangladesh,BGD,4274893913.5,4817580183.6,5081413339.79,5319458351.16,5386054619.35,5906636557,6439687598.32,7253575399.32,7483685473.51,8471006100.95,8992721809.39,8751842839.8,6288245866.67,8086725729.34,12512460519.71,19448348073.46,10117113333.33,9651149301.87,13281767142.86,15565480321.94,18138049095.61,20249694002.45,18525399201.6,17609048821.55,18920840000,22278423076.92,21774033333.33,24298032258.06,26579005760.35,28781714763.8,31598341233.56,30957483949.58,31708874594.16,33166519417.99,33768660882.79,37939748768.66,46438484107.58,48244309133.49,49984559471.37,51270569883.53,53369787318.62,53991289844.33,54724081490.51,60158929188.26,65108544250.04,69442943089.43,71819083683.74,79611888213.15,91631278239.32,102477791472.39,115279077465.23,128637938711.39,133355749482.48,149990451022.29,172885454931.45,195078678697.23,221415188000.48,249723862487.36,
"Bahamas, The",BHS,169803921.57,190098039.22,212254901.96,237745098.04,266666666.67,300392156.86,340000000,390196078.43,444901960.78,528137254.9,538423153.69,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000,
Belize,BLZ,28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.27,118066298.34,96905829.6,117650000,136300000,151800000,197938222.43,196089854.66,182206326.99,192103185.96,214381949.02,212643742.66,231638320.54,281082558.59,320093360.27,369133890.7,412086445.49,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114202700,1217442150,1290542550,1368625150,1335217500,1396731700,1486595750,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800,
Bolivia,BOL,373879363.6,406684585.72,444665186.4,478805990.08,539491477.32,604377104.38,669191919.19,755808080.81,857912457.91,929629629.63,1017003367,1095622895.62,1257615644.98,1262968515.74,2100249875.06,2404697651.17,2731984008,3227436281.86,3758220889.56,4421343606.18,4526916802.61,5872756933.12,5587490264.81,5422440961.88,6169501037.98,5377277406.72,3958338883.22,4323623622.16,4597615562.67,4715978868.22,4867582620.21,5343274311.57,5643893347.01,5734676560.92,5981244886.92,6715220507.05,7396966657.47,7925673448.41,8497545598.08,8285075872.27,8397912509.1,8141537937.61,7905485216.18,8082364868.39,8773451738.91,9549077869.11,11451845341.2,13120107688.02,16674276951.88,17339992165.24,19649724655.49,23963162983.8,27084497539.8,30659338929.09,32996187988.42,33000198263.39,33941126193.92,37508642112.88,
