country_name,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,AFG,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081,36373176,37209007,38054941,38913707,39779095,40649204,41519986,42388400,43254446,44119315,44982317,45842659,46699545,47552324,48400329,49242776,50078786,50907550,51728328,52540360,53342664,54134238,54914122,55681683,56436296,57177142,57903378,58614315,59309352,59988191,60650823,61297440,61928118,62542629,63140612,63721905,64286388,64833869,65364208,65877123,66372235,66849094,67307303,67746600,68166836,68567901,68949732,69312240,69655300,69978689,70282194,70565547,70828562,71071244,71293579,71495235,71675834,71835187,71973309,72090564,72187611,72265313,72324435,72365474,72388742,72394688,72383708,72356276,72312905,72254237,72180933,72093731,71993320,71880385,71755556,71619483,71472775,71316116,71150213,70975797,70793669,70604652,70409629
Albania,ALB,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2934363,2938428,2942034,2944804,2946540,2947341,2947436,2946992,2945952,2944148,2941514,2937961,2933419,2927864,2921296,2913716,2905095,2895451,2884782,2873133,2860572,2847180,2833058,2818259,2802812,2786778,2770248,2753275,2735905,2718188,2700179,2681961,2663591,2645091,2626496,2607795,2588991,2570056,2551016,2531868,2512604,2493200,2473665,2453968,2434127,2414120,2393917,2373506,2352885,2332057,2311030,2289799,2268385,2246771,2224993,2203089,2181092,2159040,2136956,2114881,2092813,2070778,2048793,2026888,2005091,1983421,1961896,1940549,1919400,1898482,1877803,1857396,1837280,1817495,1798031,1778938,1760231,1741935,1724057,1706638,1689689,1673241,1657307
Algeria,DZA,11124888,11404859,11690153,11985136,12295970,12626952,12980267,13354197,13744387,14144438,14550034,14960109,15377093,15804428,16247113,16709099,17190239,17690184,18212326,18760761,19337715,19943664,20575701,21228289,21893853,22565905,23241272,23917897,24591492,25257672,25912367,26554329,27181094,27786259,28362253,28904298,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142,42008054,42679018,43333255,43969303,44584467,45178849,45752995,46307643,46843063,47360008,47860486,48347052,48821963,49286285,49741054,50188453,50630920,51070401,51507846,51943721,52378836,52813830,53248997,53684399,54119593,54553530,54984743,55411769,55833922,56250124,56657885,57054231,57436703,57804208,58156137,58491219,58808275,59106493,59385347,59644912,59885843,60109267,60316226,60507128,60682545,60843900,60992938,61131159,61259492,61378599,61489432,61592928,61689919,61781092,61867061,61948436,62025747,62099469,62169949,62237420,62302053,62363854,62422851,62479024,62532295,62582408,62629024,62671784,62710460,62744724,62773977,62797493,62814647,62824970,62828113,62823820,62811834,62791869,62763548,62726426,62679958,62623540,62556472
American Samoa,ASM,20013,20486,21117,21882,22698,23520,24321,25116,25885,26614,27292,27916,28492,29014,29488,29932,30321,30689,31102,31673,32457,33493,34738,36160,37688,39241,40837,42450,44047,45593,47038,48375,49593,50720,51803,52868,53929,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641,55679,55727,55799,55899,56015,56132,56266,56402,56548,56690,56837,56989,57147,57306,57464,57622,57752,57856,57925,57974,57987,57978,57948,57901,57832,57748,57650,57526,57396,57247,57094,56927,56759,56591,56424,56246,56068,55889,55701,55519,55324,55134,54925,54716,54498,54272,54040,53798,53547,53281,53014,52732,52448,52151,51847,51524,51195,50855,50504,50148,49776,49395,49010,48619,48212,47799,47379,46960,46534,46103,45667,45221,44787,44333,43890,43440,42988,42534,42082,41625,41170,40714,40263
Andorra,AND,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965,76953,77072,77184,77276,77392,77521,77649,77775,77887,77971,78037,78089,78154,78220,78284,78342,78397,78444,78486,78517,78546,78556,78550,78525,78478,78415,78329,78205,78060,77892,77684,77446,77187,76897,76578,76232,75856,75467,75054,74621,74177,73723,73261,72792,72328,71861,71398,70942,70498,70066,69649,69244,68854,68475,68121,67781,67467,67171,66892,66634,66391,66163,65955,65764,65586,65413,65262,65111,64972,64836,64703,64578,64451,64333,64197,64071,63940,63809,63679,63544,63410,63267,63125
Angola,AGO,5643182,5753024,5866061,5980417,6093321,6203299,6309770,6414995,6523791,6642632,6776381,6927269,7094834,7277960,7474338,7682479,7900997,8130988,8376147,8641521,8929900,9244507,9582156,9931562,10277321,10609042,10921037,11218268,11513968,11827237,12171441,12553446,12968345,13403734,13841301,14268994,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193,30774205,31787566,32827401,33894484,34988302,36109078,37256728,38431208,39632777,40861741,42118066,43401630,44712282,46049888,47414284,48805159,50222155,51664864,53132953,54626019,56143480,57684681,59249002,60835954,62445070,64075730,65727293,67399148,69090764,70801659,72531421,74279686,76046053,77830032,79631114,81448802,83282636,85132120,86996704,88875848,90769086,92676002,94596081,96528707,98473158,100428785,102394875,104370664,106355456,108348391,110348436,112354428,114365294,116380154,118398211,120418555,122440288,124462545,126484421,128505096,130523881,132540159,134553234,136562388,138566724,140565190,142556621,144539981,146514393,148479176,150433819,152377935,154311019,156232405,158141282,160036741,161917876,163783817,165633769,167467024,169282983,171081104,172860941
Antigua and Barbuda,ATG,55339,56144,57144,58294,59524,60781,62059,63360,64655,65910,67098,68188,69176,70066,70878,71609,72285,72875,73324,73528,73442,73066,72448,71639,70725,69782,68809,67845,67058,66627,66696,67307,68427,69938,71719,73619,75628,77739,79851,81831,83584,85057,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963,102012,103050,104084,105110,106125,107144,108138,109126,110094,111043,111971,112877,113763,114608,115442,116242,117008,117744,118452,119131,119770,120377,120955,121503,122010,122482,122922,123334,123729,124079,124404,124701,124973,125223,125451,125652,125832,125997,126147,126275,126392,126504,126595,126686,126764,126838,126909,126969,127025,127081,127133,127184,127222,127254,127272,127285,127289,127271,127247,127215,127157,127092,127016,126917,126807,126671,126542,126388,126227,126054,125876,125678,125486,125281,125070,124853,124626,124393,124162,123922,123692,123446,123205,122961
Argentina,ARG,20619075,20953077,21287682,21621840,21953929,22283390,22608748,22932203,23261278,23605987,23973058,24366439,24782949,25213388,25644506,26066975,26477152,26878565,27277741,27684534,28105888,28543364,28993987,29454738,29920904,30388783,30857244,31326473,31795517,32263561,32729739,33193918,33655151,34110917,34558115,34994814,35419682,35833969,36241590,36648068,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041,44688864,45101781,45510399,45914426,46313273,46707020,47095834,47479800,47858884,48232945,48601833,48965339,49323306,49675627,50022276,50363210,50698399,51027807,51351362,51669000,51980643,52286212,52585643,52878835,53165726,53446298,53720586,53988553,54250133,54505185,54753494,54994811,55228902,55455656,55674954,55886613,56090458,56286317,56474080,56653669,56824972,56987923,57142441,57288541,57426180,57555274,57675738,57787523,57890676,57985346,58071774,58150259,58221093,58284454,58340528,58389605,58432023,58468089,58497987,58521915,58540159,58553029,58560778,58563632,58561674,58554855,58543059,58526221,58504402,58477775,58446456,58410565,58370260,58325635,58276809,58223853,58166865,58105962,58041262,57972898,57901026,57825826,57747478
Armenia,ARM,1874120,1941491,2009526,2077575,2144998,2211316,2276031,2339124,2401140,2462925,2525065,2587706,2650484,2712781,2773747,2832757,2889579,2944379,2997411,3049105,3099751,3148092,3193686,3238594,3285595,3335935,3392256,3451942,3504651,3536469,3538165,3505251,3442810,3363098,3283660,3217342,3168215,3133086,3108684,3089017,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450,2934152,2936706,2938679,2939944,2940089,2939169,2937237,2934370,2930588,2925921,2920450,2914268,2907463,2900079,2892154,2883791,2875096,2866150,2856998,2847657,2838113,2828360,2818399,2808228,2797835,2787163,2776111,2764618,2752658,2740248,2727366,2714016,2700184,2685878,2671105,2655894,2640273,2624286,2607936,2591257,2574282,2557049,2539596,2521936,2504108,2486126,2468026,2449832,2431558,2413227,2394839,2376382,2357856,2339276,2320653,2302002,2283321,2264623,2245919,2227238,2208601,2190012,2171517,2153124,2134869,2116768,2098870,2081217,2063832,2046702,2029865,2013304,1997038,1981070,1965382,1949976,1934848,1919968,1905318,1890886,1876637,1862546,1848572
Aruba,ABW,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822,105264,105670,106053,106438,106797,107147,107484,107804,108116,108411,108682,108936,109172,109377,109545,109687,109789,109855,109885,109866,109822,109730,109606,109442,109246,109013,108759,108488,108191,107882,107557,107232,106913,106595,106290,105993,105708,105444,105195,104960,104753,104556,104372,104205,104058,103911,103780,103659,103535,103424,103307,103190,103070,102948,102818,102680,102533,102382,102217,102040,101859,101668,101462,101252,101030,100797,100557,100306,100052,99801,99542,99269,99009,98747,98479,98215,97948,97693,97436,97185,96925,96676,96433,96194
Australia,AUS,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933,24772247,25088636,25398177,25700455,25996287,26286687,26573232,26857068,27138610,27417603,27693680,27966193,28234742,28499354,28760433,29018332,29273531,29526448,29777258,30026101,30273354,30519420,30764641,31009076,31252803,31496058,31739106,31982056,32225028,32467814,32709660,32949581,33186818,33421076,33652432,33880899,34106656,34329789,34550281,34767994,34982925,35195073,35404457,35611058,35814913,36016123,36214816,36411095,36604991,36796486,36985644,37172476,37357006,37539281,37719288,37896886,38071907,38244210,38413784,38580707,38745050,38906940,39066484,39223699,39378635,39531465,39682430,39831668,39979245,40125120,40269290,40411716,40552333,40691076,40827875,40962609,41095166,41225397,41353126,41478159,41600256,41719156,41834586
